label,x,y,z
Fp1,-29.4367,83.9171,-6.99
Fpz,0.1123,88.247,-1.713
Fp2,29.8723,84.8959,-7.08
AF7,-54.8397,68.5722,-10.59
AF3,-33.7007,76.8371,21.227
AFz,0.2313,80.771,35.417
AF4,35.7123,77.7259,21.956
AF8,55.7433,69.6568,-10.755
F9,-70.1019,41.6523,-49.952
F7,-70.2629,42.4743,-11.42
F5,-64.4658,48.0353,16.921
F3,-50.2438,53.1112,42.192
F1,-27.4958,56.9311,60.342
Fz,0.3122,58.512,66.462
F2,29.5142,57.6019,59.54
F4,51.8362,54.3048,40.814
F6,67.9142,49.8297,16.367
F8,73.0431,44.4217,-12.0
F10,72.1141,42.0667,-50.452
FT9,-84.0759,14.5673,-50.429
FT7,-80.775,14.1203,-11.135
FC5,-77.2149,18.6433,24.46
FC3,-60.1819,22.7162,55.544
FC1,-34.0619,26.0111,79.987
FCz,0.3761,27.39,88.668
FC2,34.7841,26.4379,78.808
FC4,62.2931,23.7228,55.63
FC6,79.5341,19.9357,24.438
FT8,81.8151,15.4167,-11.33
FT10,84.1131,14.3647,-50.538
T9,-85.8941,-15.828700000000001,-48.283
T7,-84.1611,-16.0187,-9.346
C5,-80.2801,-13.7597,29.16
C3,-65.3581,-11.6317,64.358
C1,-36.158,-9.9839,89.752
Cz,0.4009,-9.167,100.244
C2,37.672,-9.6241,88.412
C4,67.1179,-10.9003,63.58
C6,83.4559,-12.7763,29.208
T8,85.0799,-15.0203,-9.49
T10,85.5599,-16.3613,-48.271
TP9,-85.6192,-46.5147,-45.707
TP7,-84.8302,-46.0217,-7.056
CP5,-79.5922,-46.5507,30.949
CP3,-63.55619999999999,-47.0088,65.624
CP1,-35.5131,-47.2919,91.315
CPz,0.3858,-47.318,99.432
CP2,38.3838,-47.0731,90.695
CP4,66.6118,-46.6372,65.58
CP6,83.3218,-46.1013,31.206
TP8,85.5488,-45.5453,-7.13
TP10,86.1618,-47.0353,-45.869
P9,-73.0093,-73.7657,-40.998
P7,-72.4343,-73.4527,-2.487
P5,-67.2723,-76.2907,28.382
P3,-53.0073,-78.7878,55.94
P1,-28.6203,-80.5249,75.436
Pz,0.3247,-81.115,82.615
P2,31.919700000000002,-80.4871,76.716
P4,55.6667,-78.5602,56.561
P6,67.8877,-75.9043,28.091
P8,73.0557,-73.0683,-2.54
P10,73.8947,-74.3903,-41.22
PO7,-54.8404,-97.5279,2.792
PO3,-36.5114,-100.8529,37.167
POz,0.2156,-102.178,50.608
PO4,36.7816,-100.8491,36.397
PO8,55.6666,-97.6251,2.73
O1,-29.4134,-112.449,8.839
Oz,0.1076,-114.892,14.657
O2,29.8426,-112.156,8.8
Iz,0.0045,-118.565,-23.078
