label,x,y,z
Fp1,-32.4367,80.9171,-7.79
Fpz,-1.3877,86.247,-1.713
Fp2,29.8723,83.8959,-6.28
AF7,-53.3397,68.5722,-11.39
AF3,-30.700699999999998,77.8371,21.227
AFz,-2.7687,82.771,36.217
AF4,34.2123,80.7259,21.156
AF8,55.7433,66.6568,-10.755
F9,-68.6019,39.6523,-49.152
F7,-67.2629,41.4743,-12.22
F5,-67.4658,48.0353,16.921
F3,-45.7438,52.1112,44.492
F1,-27.4958,58.9311,59.542
Fz,1.8122,61.512,66.462
F2,32.5142,54.6019,60.339999999999996
F4,48.8362,52.3048,40.014
F6,66.4142,48.8297,16.367
F8,73.0431,44.4217,-11.2
F10,73.6141,43.0667,-51.251999999999995
FT9,-81.0759,16.5673,-50.429
FT7,-83.775,17.1203,-10.334999999999999
FC5,-78.7149,15.6433,23.66
FC3,-60.1819,20.7162,55.544
FC1,-32.5619,25.0111,80.78699999999999
FCz,3.3761,27.39,87.86800000000001
FC2,31.784100000000002,27.4379,78.808
FC4,60.7931,25.7228,56.43
FC6,79.5341,22.9357,23.637999999999998
FT8,83.3151,12.4167,-11.33
FT10,87.1131,12.3647,-49.738
T9,-88.8941,-16.828699999999998,-49.083
T7,-85.6611,-16.0187,-9.346
C5,-80.2801,-12.7597,29.96
C3,-68.8581,-6.6317,65.558
C1,-33.158,-6.9839,89.752
Cz,-2.5991,-12.167,101.044
C2,36.172,-11.6241,87.61200000000001
C4,67.1179,-11.9003,63.58
C6,84.9559,-12.7763,30.008
T8,88.0799,-14.0203,-10.290000000000001
T10,82.5599,-14.3613,-48.271
TP9,-87.1192,-43.5147,-44.907000000000004
TP7,-84.8302,-49.0217,-7.856
CP5,-78.0922,-48.5507,30.949
CP3,-60.55619999999999,-48.0088,66.42399999999999
CP1,-38.5131,-47.2919,90.515
CPz,-1.1142,-46.318,99.432
CP2,38.3838,-45.0731,91.49499999999999
CP4,68.1118,-43.6372,64.78
CP6,86.3218,-49.1013,31.206
TP8,82.5488,-47.5453,-6.33
TP10,84.6618,-48.0353,-46.669
P9,-73.0093,-73.7657,-40.998
P7,-70.9343,-72.4527,-1.687
P5,-64.2723,-74.2907,27.582
P3,-56.0073,-75.7878,55.94
P1,-30.1203,-83.5249,76.236
Pz,0.3247,-90.115,80.815
P2,33.4197,-81.4871,76.716
P4,58.6667,-78.5602,57.361
P6,64.8877,-74.9043,27.291
P8,71.5557,-71.0683,-2.54
P10,73.8947,-71.3903,-40.42
PO7,-53.3404,-100.5279,1.9919999999999998
PO3,-33.5114,-102.8529,37.167
POz,-2.7843999999999998,-103.178,51.407999999999994
PO4,35.2816,-100.8491,35.597
PO8,55.6666,-96.6251,2.73
O1,-27.9134,-110.449,9.639000000000001
Oz,5.1076,-116.892,13.857
O2,26.8426,-115.156,8.8
Iz,-1.4955,-120.565,-22.278
